Host,Status,SSL,Port,C2 Server,Https Cert,GET uri,POST uri,User Agent,Watermark
188.225.85.203,Found,True,443,188.225.85.203,,/en_US/all.js,/submit.php,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; BTRS125526),0
185.246.130.120,Found,True,443,185.246.130.120,amazon.com,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books,/N4215/adj/amzn.us.sr.aps,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1884567894
108.61.247.237,Found,True,443,108.61.247.237,eye-watch.in,/design/img/list.jpg,/design/img/List.jpg,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_8; en-us) AppleWebKit/534.50 (KHTML, like Gecko) Version/5.1 Safari/534.50",305419896
64.69.57.207,Found,True,443,64.69.57.207,cdcwarning.com,/homes/for_sale/atlanta/,/homes/for_sale/Atlanta/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",525889753
64.69.57.207,Found,True,443,64.69.57.207,cdcwarning.com,/homes/for_sale/atlanta/,/homes/for_sale/Atlanta/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",525889753
3.131.83.189,Found,True,443,3.131.83.189,,/en-us/silentauth,/collect/v1,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko,109314987
142.93.98.6,Found,True,443,winmaps.me,winmaps.me,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books,/N4215/adj/amzn.us.sr.aps,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,305419896
23.106.160.111,Found,True,443,mixres.com,mixres.com,/us/ky/louisville/312-s-fourth-st.html,/OrderEntryService.asmx/AddOrderLine,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko)",0
204.16.247.189,Found,True,443,foxreps.com,fangulf.com,/us/ky/louisville/312-s-fourth-st.html,/OrderEntryService.asmx/AddOrderLine,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko)",0
204.16.247.235,Found,True,443,avetool.com,avetool.com,/us/ky/louisville/312-s-fourth-st.html,/OrderEntryService.asmx/AddOrderLine,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko)",0
104.149.168.199,Found,True,443,104.149.168.199,,/g.pixel,/submit.php,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0),0
3.131.83.189,Found,True,443,3.131.83.189,,/en-us/silentauth,/collect/v1,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko,109314987
173.234.25.76,Found,True,443,162.223.31.160,,/pixel.gif,/submit.php,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0),0
3.17.176.47,Found,True,443,scripts.sidewalkpizzanyc.com,,/visit.js,/submit.php,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; Trident/4.0),1548680553
45.76.177.3,Found,True,443,45.76.177.3,,/push,/submit.php,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET4.0C; .NET4.0E),0
192.184.35.222,Found,True,443,exrap.com,exrap.com,/us/ky/louisville/312-s-fourth-st.html,/OrderEntryService.asmx/AddOrderLine,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko)",0
95.179.239.225,Found,True,443,95.179.239.225,,/IE9CompatViewList.xml,/submit.php,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Win64; x64; Trident/5.0; MALC),1873433027
194.36.191.118,Found,True,443,194.36.191.118,,/visit.js,/submit.php,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; InfoPath.2; .NET CLR 2.0.50727),305419896
155.138.245.98,Found,True,443,155.138.245.98,,/updates.rss,/submit.php,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; NP09; NP09; MAAU),631181113
3.22.101.152,Found,True,443,d6qg530ok85uj.cloudfront.net,go.autoupdate.co,/safebrowsing/fp/X5dYOhqFrKn95vdkmSCHODPEuY9,/safebrowsing/fp/Xtsuqd9wDd34nVxGbIiRlzzODKYweAye7kEob,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36",793967405
63.142.243.214,Found,True,443,63.142.243.214,,/push,/submit.php,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; BOIE9;ENUS),305419896
3.130.123.198,Found,True,443,3.130.123.198,,/j.ad,/submit.php,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0; BOIE9;ENXA),1993444900
52.215.223.104,Found,True,443,cdn.vigfinancialllc.com,cdn.vigfinancialllc.com,/s/ref=nb_sb_noss_1/510-44224579-7109799/field-keywords=problem,/N4670/adj/amzn.us.sr.aps,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/6.0),1549778826
52.28.253.50,Found,True,443,rijkzijn.nl,systest.nl,/vlk/grants,/vlk/xmlrpc/v2,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1748429673
144.217.207.21,Found,True,443,52.188.209.63,,/cm,/submit.php,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0; FunWebProducts; IE0006_ver1;EN_GB),555758901
108.61.95.124,Found,True,443,mail.igov-service.net,mail.igov-service.net,/index.e943403db0.js,/api/offers,"Mozilla/5.0 (Windows NT 6.1;) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",305419896
172.98.192.91,Found,True,443,172.98.192.91,,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books,/N4215/adj/amzn.us.sr.aps,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,0
45.58.117.98,Found,True,443,domways.com,domways.com,/us/ky/louisville/312-s-fourth-st.html,/OrderEntryService.asmx/AddOrderLine,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko)",0
13.211.255.53,Found,True,443,ec2-13-211-255-53.ap-southeast-2.compute.amazonaws.com,,/oscp/,/oscp/a/,Microsoft-CryptoAPI/6.1,105224470
27.102.115.108,Found,True,443,27.102.115.108,CN,/updates,/windebug/updcheck.php,Mozilla/5.0 (Windows NT 6.1; rv:24.0) Gecko/20100101 Firefox/24.0,305419896
23.19.227.54,Found,True,443,urlbig.com,urlbig.com,/us/ky/louisville/312-s-fourth-st.html,/OrderEntryService.asmx/AddOrderLine,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko)",1580103814
96.44.166.179,Found,True,443,topmgr.com,topmgr.com,/us/ky/louisville/312-s-fourth-st.html,/OrderEntryService.asmx/AddOrderLine,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko)",0
18.141.185.134,Found,True,443,18.141.185.134,,/push,/submit.php,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; InfoPath.2; .NET4.0C),0
167.99.197.196,Found,True,443,myredirector1.live,myteamserver.live,/c/msdownload/update/others/2020/10/29136388_,/c/msdownload/update/others/2020/10/28986731_,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0),1556462172
45.11.19.217,Found,True,443,mapizzamates.com,,/en_US/all.js,/submit.php,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Win64; x64; Trident/6.0; MATMJS),1580103814
23.106.160.2,Found,True,443,bitsse.com,bitsse.com,/us/ky/louisville/312-s-fourth-st.html,/OrderEntryService.asmx/AddOrderLine,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko)",0
168.119.0.88,Found,True,443,168.119.0.88,,/g.pixel,/submit.php,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0; BOIE9;ENUSMSCOM),0
185.82.202.123,Found,True,443,185.82.202.123,,/j.ad,/submit.php,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; QQDownload 733; InfoPath.2),305419896
13.76.216.122,Found,True,443,13.76.216.122,,/cx,/submit.php,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; MASB),305419896
104.243.45.15,Found,True,443,mixres.com,mixres.com,/us/ky/louisville/312-s-fourth-st.html,/OrderEntryService.asmx/AddOrderLine,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko)",0
206.189.223.152,Found,True,443,206.189.223.152,,/push,/submit.php,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1),1782199611
176.10.118.152,Found,True,443,176.10.118.152,youtude.ru,/watch,/ptracking,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko)",188795730
31.44.184.174,Found,True,443,31.44.184.174,,/ptj,/submit.php,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0),0
45.11.19.217,Found,True,443,mapizzamates.com,,/en_US/all.js,/submit.php,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Win64; x64; Trident/6.0; MATMJS),1580103814
23.106.124.136,Found,True,443,blog.chat5l88.com,Eset Internet Security,/image/,/history/,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/5.0),0
18.223.155.112,Found,True,443,18.223.155.112,,/match,/submit.php,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0; MATBJS),684433648
18.223.155.112,Found,True,443,18.223.155.112,,/match,/submit.php,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0; MATBJS),684433648
185.193.36.73,Found,True,443,185.193.36.73,,/load,/submit.php,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET4.0C; .NET4.0E),0
192.184.35.222,Found,True,443,exrap.com,exrap.com,/us/ky/louisville/312-s-fourth-st.html,/OrderEntryService.asmx/AddOrderLine,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko)",0
64.187.239.138,Found,True,443,ballom.com,ballom.com,/us/ky/louisville/312-s-fourth-st.html,/OrderEntryService.asmx/AddOrderLine,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko)",0
185.161.208.234,Found,True,443,fc.cyber1ink.com,fc.cyber1ink.com,/include/template/isx.php,/modules/mod_search.php,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,305419896
35.193.193.149,Found,True,443,35.193.193.149,,/dot.gif,/submit.php,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Win64; x64; Trident/5.0; MAAU; NP08),1161198950
31.187.64.199,Found,True,443,d30qpb9e10re4o.cloudfront.net,10.0.0.2l4.xyz,/gen_204eiT6EX_r4F3fqwHI9boDg,/_/VisualFrontendUi/data/batchexecute,Mozilla/5.0 (Macintosh; Intel Mac OS X 15.0;) Gecko/20100101 Firefox/637.0,0
161.35.51.98,Found,True,443,mscrl.microsoft.com,throwaway-site.xyz,/feed/Video/c/dynamic/,/main/urgent/w/06/,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 2.0.50727),331214648
23.106.160.198,Found,True,443,repshd.com,repshd.com,/us/ky/louisville/312-s-fourth-st.html,/OrderEntryService.asmx/AddOrderLine,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko)",0
34.71.149.172,Found,True,443,www.bankrate.com,asdf.inno-finance.com,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books,/N4215/adj/amzn.us.sr.aps,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,248899726
108.61.200.55,Found,True,443,108.61.200.55,,/__utm.gif,/submit.php,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Win64; x64; Trident/5.0; MANM; MANM),305419896
35.174.172.215,Found,True,443,icollegetutor.live,icollegetutor.live,/preload,/user,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",318005844
23.19.227.114,Found,True,443,travelletmeet.com,,/ga.js,/submit.php,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; BOIE9;ENUS),1580103814
31.44.184.73,Found,True,443,31.44.184.73,,/dot.gif,/submit.php,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0),0
108.61.200.55,Found,True,443,108.61.200.55,,/__utm.gif,/submit.php,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Win64; x64; Trident/5.0; MANM; MANM),305419896
185.82.126.47,Found,True,443,185.82.126.47,,/pixel,/submit.php,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; MASB),305419896
193.29.56.172,Found,True,443,192.243.102.171,jsquery.com,/jsquery-3.3.1.min.js,/jsquery-3.3.2.min.js,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.246",123423511
23.81.246.46,Found,True,443,contmetric.com,contmetric.com,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books,/N4215/adj/amzn.us.sr.aps,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,0
204.16.247.41,Found,True,443,syscx.com,,/dot.gif,/submit.php,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Win64; x64; Trident/6.0; ASU2JS),0
18.141.185.134,Found,True,443,18.141.185.134,,/push,/submit.php,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; InfoPath.2; .NET4.0C),0
193.34.166.124,Found,True,443,ntservicespack.com,,/load,/submit.php,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Win64; x64; Trident/6.0),305419896
77.123.155.74,Found,True,443,77.123.155.74,,/owa/,/OWA/,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko)",305419896
144.217.207.21,Found,True,443,52.188.209.63,,/cm,/submit.php,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0; FunWebProducts; IE0006_ver1;EN_GB),555758901
23.108.57.27,Found,True,443,104.243.46.74,,/IE9CompatViewList.xml,/submit.php,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; WOW64; Trident/5.0),0
89.38.225.140,Found,True,443,news.networkslaoupdate.com,,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books,/N4215/adj/amzn.us.sr.aps,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,0
91.229.23.63,Found,True,443,146.0.72.91,,/j.ad,/submit.php,Mozilla/4.0 (compatible; MSIE 5.0; Windows NT; DigExt; DTS Agent,0
69.1.55.195,Found,True,443,24.35.34.132,gcp.securityopscenter.org,/access/,/radio/xmlrpc/v35,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:5.0) Gecko/20100101 Firefox/5.0,649944377
23.108.57.27,Found,True,443,104.243.46.74,,/IE9CompatViewList.xml,/submit.php,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; WOW64; Trident/5.0),0
212.95.150.10,Found,True,443,1.1.1.1,,/fwlink,/submit.php,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; MASP),305419896
74.118.138.25,Found,True,443,domways.com,domways.com,/us/ky/louisville/312-s-fourth-st.html,/OrderEntryService.asmx/AddOrderLine,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko)",0
34.222.203.112,Found,True,443,creditnetfinance.com,creditnetfinance.com,/rs-apps/assets/images/portfolio,/next-api/graphql,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,958113880
104.237.4.40,Found,True,443,104.237.4.40,,/fwlink,/submit.php,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0),0
104.194.11.160,Found,True,443,avetool.com,avetool.com,/us/ky/louisville/312-s-fourth-st.html,/OrderEntryService.asmx/AddOrderLine,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko)",0
163.172.39.102,Found,True,443,163.172.39.102,,/index.jsp,/submit.jsp,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36",305419896
45.76.176.156,Found,True,443,www.pccw.monster,CloudFlare Origin Certificate,/__utm.gif,/___utm.gif,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; NP06),16777216
3.133.160.202,Found,True,443,scripts.completelyinnocuousdomain.com,,/updates.rss,/submit.php,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; InfoPath.2; .NET4.0C; .NET4.0E),1548680553
116.93.124.137,Found,True,443,mail.igov-service.net,mail.igov-service.net,/index.e943403db0.js,/api/offers,"Mozilla/5.0 (Windows NT 6.1;) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",305419896
108.166.207.133,Found,True,443,108.166.207.133,,/pixel.gif,/submit.php,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0),305419896
3.137.217.140,Found,True,443,3.137.217.140,,/dot.gif,/submit.php,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0; BOIE9;ENUSMSNIP),321620935
104.238.205.44,Found,True,443,syscx.com,,/dot.gif,/submit.php,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Win64; x64; Trident/6.0; ASU2JS),0
23.106.160.161,Found,True,443,clubuz.com,clubuz.com,/us/ky/louisville/312-s-fourth-st.html,/OrderEntryService.asmx/AddOrderLine,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko)",0
172.241.27.214,Found,True,443,repshd.com,repshd.com,/us/ky/louisville/312-s-fourth-st.html,/OrderEntryService.asmx/AddOrderLine,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko)",0
